Date,Price,Open,High,Low,Vol.,Change %
12/12/2017,24504.8,24452.96,24552.97,24443.83,342.22M,0.0049
12/11/2017,24386.03,24338.11,24389.72,24314.74,300.58M,0.0023
12/8/2017,24329.16,24263.26,24330.12,24225.5,293.59M,0.0049
12/7/2017,24211.48,24116.6,24262.88,24101.24,319.06M,0.0029
12/6/2017,24140.91,24157.85,24229.19,24134.49,312.72M,-0.0016
12/5/2017,24180.64,24335.01,24349.74,24155.28,371.19M,-0.0045
12/4/2017,24290.05,24424.11,24534.04,24288.19,424.25M,0.0024
12/1/2017,24231.59,24305.4,24322.06,23921.9,417.91M,-0.0017
11/30/2017,24272.35,24013.8,24327.82,24013.8,488.20M,0.0139
11/29/2017,23940.68,23883.26,23959.76,23872.59,401.41M,0.0044
11/28/2017,23836.71,23625.19,23849.61,23617.11,319.24M,0.0109
11/27/2017,23580.78,23552.86,23638.92,23545.02,296.32M,0.001
11/24/2017,23557.99,23552.75,23599.18,23551.59,118.61M,0.0014
11/22/2017,23526.18,23597.24,23605.77,23507.61,268.76M,-0.0027
11/21/2017,23590.83,23500.15,23617.8,23500.15,329.65M,0.0069
11/20/2017,23430.33,23370.71,23456.88,23360.58,315.33M,0.0031
11/17/2017,23358.24,23433.77,23433.77,23356.01,386.00M,-0.0043
11/16/2017,23458.36,23365.34,23492.19,23365.34,402.02M,0.008
11/15/2017,23271.28,23334.59,23344.99,23242.75,404.30M,-0.0059
11/14/2017,23409.47,23388.4,23414.08,23271.57,561.33M,-0.0013
11/13/2017,23439.7,23367.47,23461.68,23343.34,491.26M,0.0007
11/10/2017,23422.21,23432.71,23452.2,23392.96,351.28M,-0.0017
11/9/2017,23461.94,23492.09,23516.74,23310.02,305.44M,-0.0043
11/8/2017,23563.36,23542.6,23575,23510.56,264.67M,0.0003
11/7/2017,23557.23,23574.03,23602.12,23484.19,285.08M,0.0004
11/6/2017,23548.42,23533.96,23574.86,23520.75,325.19M,0.0004
11/3/2017,23539.19,23549.59,23557.06,23481.57,312.25M,0.001
11/2/2017,23516.26,23463.24,23531.38,23350.98,348.04M,0.0035
11/1/2017,23435.01,23442.9,23517.71,23388.91,361.26M,0.0025
10/31/2017,23377.24,23369.22,23406.35,23334.39,388.05M,0.0012
10/30/2017,23348.74,23405.75,23428.75,23327.87,436.90M,-0.0036
10/27/2017,23434.19,23419.16,23449.4,23353.16,518.87M,0.0014
10/26/2017,23400.86,23380.89,23459.84,23380.89,370.60M,0.0031
10/25/2017,23329.46,23431.09,23451.51,23251.11,399.56M,-0.0048
10/24/2017,23441.76,23346.78,23485.25,23343.23,406.85M,0.0072
10/23/2017,23273.96,23348.95,23368.37,23273.96,456.83M,-0.0023
10/20/2017,23328.63,23205.18,23328.84,23201.78,474.38M,0.0071
10/19/2017,23163.04,23107.47,23167.24,23052.67,350.40M,0.0002
10/18/2017,23157.6,23087.13,23172.93,23086.75,271.87M,0.007
10/17/2017,22997.44,22952.41,23002.2,22948.23,273.09M,0.0018
10/16/2017,22956.96,22892.92,22960.12,22887.12,247.18M,0.0037
10/13/2017,22871.72,22876.43,22905.33,22855.93,259.56M,0.0013
10/12/2017,22841.01,22854.85,22884.82,22821.13,291.79M,-0.0014
10/11/2017,22872.89,22827.65,22872.89,22821.66,316.00M,0.0018
10/10/2017,22830.68,22784.76,22850.51,22770.99,319.27M,0.0031
10/9/2017,22761.07,22779.73,22803.37,22739.38,310.77M,-0.0006
10/6/2017,22773.67,22762.03,22773.67,22730.85,221.45M,-0.0001
10/5/2017,22775.39,22669.08,22777.04,22655.14,246.40M,0.005
10/4/2017,22661.64,22645.67,22685.94,22632.8,235.73M,0.0009
10/3/2017,22641.67,22564.45,22646.32,22562.9,238.83M,0.0037
10/2/2017,22557.6,22423.47,22559.38,22416,268.53M,0.0068
9/29/2017,22405.09,22358.47,22405.63,22332.96,274.79M,0.0011
9/28/2017,22381.2,22306.83,22394.74,22288.97,263.01M,0.0018
9/27/2017,22340.71,22330.93,22371.1,22254.93,342.90M,0.0025
9/26/2017,22284.32,22322.03,22369.35,22279.52,285.99M,-0.0005
9/25/2017,22296.09,22320.47,22359.88,22219.11,332.43M,-0.0024
9/22/2017,22349.59,22334.07,22364.31,22299.58,297.14M,-0.0004
9/21/2017,22359.23,22414.02,22419.51,22356.55,287.39M,-0.0024
9/20/2017,22412.59,22351.38,22413.26,22314.68,334.56M,0.0019
9/19/2017,22370.8,22349.7,22386.01,22340.71,295.57M,0.0018
9/18/2017,22331.35,22297.92,22355.62,22283.35,302.74M,0.0028
9/15/2017,22268.34,22252.44,22275.02,22214.52,527.54M,0.0029
9/14/2017,22203.48,22144.96,22216.44,22135.26,297.78M,0.002
9/13/2017,22158.18,22103.47,22158.18,22095.79,291.89M,0.0018
9/12/2017,22118.86,22090.56,22134.57,22087.09,364.58M,0.0028
9/11/2017,22057.37,21927.79,22067.1,21927.79,312.77M,0.0119
9/8/2017,21797.79,21764.43,21846.63,21731.12,289.40M,0.0006
9/7/2017,21784.78,21820.38,21850.01,21745.71,333.81M,-0.001
9/6/2017,21807.64,21815.76,21849.24,21794.07,318.76M,0.0025
9/5/2017,21753.31,21912.37,21921.09,21709.63,332.84M,-0.0107
9/1/2017,21987.56,21981.77,22038.97,21974.91,256.24M,0.0018
8/31/2017,21948.1,21936.01,21985.76,21910.5,376.79M,0.0025
8/30/2017,21892.43,21859.76,21914.26,21839.47,242.84M,0.0012
