Date,Price,Open,High,Low,Vol.,Change %
1/24/2019,2642.33,2638.84,2647.2,2627.01,,0.0014
1/23/2019,2638.7,2643.48,2653.19,2612.86,,0.0022
1/22/2019,2632.9,2657.88,2657.88,2617.27,,-0.0142
1/18/2019,2670.71,2651.27,2675.47,2647.58,,0.0132
1/17/2019,2635.96,2609.28,2645.06,2606.36,,0.0076
1/16/2019,2616.1,2614.75,2625.76,2612.68,,0.0022
1/15/2019,2610.3,2585.1,2613.08,2585.1,,0.0107
1/14/2019,2582.61,2580.31,2589.32,2570.41,,-0.0053
1/11/2019,2596.26,2588.11,2596.27,2577.4,,-0.0001
1/10/2019,2596.64,2573.51,2597.82,2562.02,,0.0045
1/9/2019,2584.96,2580,2595.32,2568.89,,0.0041
1/8/2019,2574.41,2568.11,2579.82,2547.56,,0.0097
1/7/2019,2549.69,2535.61,2566.16,2524.56,,0.007
1/4/2019,2531.94,2474.33,2538.07,2474.33,,0.0343
1/3/2019,2447.89,2491.92,2493.14,2443.96,,-0.0248
1/2/2019,2510.03,2476.96,2519.49,2467.47,,0.0013
12/31/2018,2506.85,2498.94,2509.24,2482.82,,0.0085
12/28/2018,2485.74,2498.77,2520.27,2472.89,,-0.0012
12/27/2018,2488.83,2442.5,2489.1,2397.94,,0.0086
12/26/2018,2467.7,2363.12,2467.76,2346.58,,0.0496
12/24/2018,2351.1,2400.56,2410.34,2351.1,,-0.0271
12/21/2018,2416.62,2465.38,2504.41,2408.55,,-0.0206
12/20/2018,2467.42,2496.77,2509.63,2441.18,,-0.0158
12/19/2018,2506.96,2547.05,2585.29,2488.96,,-0.0154
12/18/2018,2546.16,2559.9,2573.99,2528.71,,0.0001
12/17/2018,2545.94,2590.75,2601.13,2530.54,,-0.0208
12/14/2018,2599.95,2629.68,2635.07,2593.84,,-0.0191
12/13/2018,2650.54,2658.7,2670.19,2637.27,,-0.0002
12/12/2018,2651.07,2658.23,2685.44,2650.26,,0.0054
12/11/2018,2636.78,2664.44,2674.35,2621.3,,-0.0004
12/10/2018,2637.72,2630.86,2647.51,2583.23,,0.0018
12/7/2018,2633.08,2691.26,2708.54,2623.14,,-0.0233
12/6/2018,2695.95,2663.51,2696.15,2621.53,,-0.0015
12/4/2018,2700.06,2782.43,2785.93,2697.18,,-0.0324
12/3/2018,2790.37,2790.5,2800.18,2773.38,,0.0109
11/30/2018,2760.17,2737.76,2760.88,2732.76,,0.0082
11/29/2018,2737.76,2736.97,2753.75,2722.94,,-0.0022
11/28/2018,2743.79,2691.45,2744,2684.38,,0.023
11/27/2018,2682.17,2663.75,2682.53,2655.89,,0.0033
11/26/2018,2673.45,2649.97,2674.35,2649.97,,0.0155
11/23/2018,2632.56,2633.36,2647.55,2631.09,,-0.0066
11/21/2018,2649.93,2657.74,2670.73,2649.82,,0.003
11/20/2018,2641.89,2654.6,2669.44,2631.52,,-0.0182
11/19/2018,2690.73,2730.74,2733.16,2681.09,,-0.0166
